NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
247	CYCLOHEXENE	82,146 	169,7 	356,1 	560,4 	42,9 	292,0 	0,270 	0,210 	0,816 	289,0 	0,6 	-16,3970 	1,732E-01 	-1,293E-04 	3,927E-08 	506,92 	264,54 	-1,28	25,54	15,8243 	2813,53 	-49,98 	360	300	0,000 	0,00 	0,000 	0,000 	7280
248	CYCLOHEXANONE	95,145 	242,0 	428,8 	629,0 	38,0 	312,0 	0,230 	0,443 	0,951 	288,0 	3,1 	-9,0300 	1,323E-01 	-4,665E-05 	-3,664E-09 	787,38 	336,47 	-55	-21,69	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	9500
249	CYCLOHEXANE	84,162 	279,7 	353,9 	553,4 	40,2 	308,0 	0,273 	0,213 	0,779 	293,0 	0,3 	-13,0270 	1,460E-01 	-6,027E-05 	3,156E-09 	653,62 	290,84 	-29,43	7,59	15,7527 	2766,63 	-50,50 	380	280	53,451 	-5562,12 	-5,303 	4,220 	7160
250	METHYCYCLOPENTANE	84,162 	130,7 	345,0 	532,7 	37,4 	319,0 	0,273 	0,239 	0,754 	289,0 	0,0 	11,9680 	1,524E-01 	-8,699E-05 	1,914E-08 	440,52 	243,24 	-25,5	8,55	15,8023 	2731,00 	-47,11 	375	250	0,000 	0,00 	0,000 	0,000 	6950
251	1-HEXENE	84,162 	133,3 	336,6 	504,0 	31,3 	350,0 	0,260 	0,285 	0,673 	293,0 	0,4 	0,4170 	1,268E-01 	-6,933E-05 	1,446E-08 	357,43 	197,74 	-9,96	20,9	15,8089 	2654,81 	-47,30 	360	240	55,909 	-5423,07 	-5,705 	4,540 	6760
252	CIS-2-HEXENE	84,162 	132,0 	342,0 	518,0 	32,4 	351,0 	0,270 	0,256 	0,687 	293,0 	0,0 	2,3430 	1,268E-01 	-6,490E-05 	1,153E-08 	344,33 	197,95 	-12,51	18,22	16,2057 	2897,97 	-39,30 	370	245	0,000 	0,00 	0,000 	0,000 	6960
253	TRANS-2-HEXENE	84,162 	140,0 	341,0 	516,0 	32,3 	351,0 	0,270 	0,242 	0,678 	293,0 	0,0 	-7,8640 	1,655E-01 	-1,342E-04 	4,788E-08 	344,33 	197,95 	-12,88	18,27	15,8727 	2701,72 	-48,62 	365	245	60,438 	-5734,51 	-6,348 	4,730 	6910
254	CIS-3-HEXENE	84,162 	135,3 	339,6 	517,0 	32,4 	350,0 	0,270 	0,225 	0,680 	293,0 	0,3 	5,1900 	1,388E-01 	-8,028E-05 	1,781E-08 	344,33 	197,95 	-11,38	19,84	15,8384 	2680,52 	-48,40 	365	245	0,000 	0,00 	0,000 	0,000 	6860
255	TRANS-3-HEXENE	84,162 	159,7 	340,3 	519,9 	32,1 	350,0 	0,260 	0,227 	0,677 	293,0 	0,0 	-1,0360 	1,316E-01 	-7,840E-05 	1,922E-08 	344,33 	197,95 	-13,01	18,55	15,9288 	2718,68 	-47,77 	365	245	0,000 	0,00 	0,000 	0,000 	6920
256	2-METHYL-2-PENTENE	84,162 	138,1 	340,5 	518,0 	32,4 	351,0 	0,270 	0,229 	0,691 	289,0 	0,0 	-3,5230 	1,354E-01 	-7,979E-05 	1,902E-08 	0,00 	0,00 	-14,28	17,02	15,9423 	2725,89 	-47,64 	370	245	0,000 	0,00 	0,000 	0,000 	6930
257	3-METHYL-CIS-2-PENTENE	84,162 	138,3 	340,9 	518,0 	32,4 	351,0 	0,270 	0,269 	0,694 	293,0 	0,0 	-3,5230 	1,354E-01 	-7,979E-05 	1,902E-08 	0,00 	0,00 	-13,8	17,5	15,9124 	2731,79 	-46,47 	364	248	0,000 	0,00 	0,000 	0,000 	6890
258	3-METHYL-TRANS-2-PENTENE	84,162 	134,7 	343,6 	521,0 	32,5 	350,0 	0,270 	0,207 	0,698 	293,0 	0,0 	-3,5230 	1,354E-01 	-7,979E-05 	1,902E-08 	0,00 	0,00 	-14,02	17,04	15,9484 	2750,50 	-48,33 	366	250	0,000 	0,00 	0,000 	0,000 	7000
259	4-METHYL-CIS-2-PENTENE	84,162 	139,0 	329,6 	490,0 	30,0 	360,0 	0,270 	0,290 	0,669 	293,0 	0,0 	-0,4000 	1,284E-01 	-7,271E-05 	1,613E-08 	0,00 	0,00 	-12,03	19,63	15,7527 	2580,52 	-46,56 	352	218	0,000 	0,00 	0,000 	0,000 	6590
260	4-METHYL-TRANS-2-PENTENE	84,162 	132,0 	331,7 	493,0 	30,0 	360,0 	0,270 	0,290 	0,669 	293,0 	0,0 	3,0160 	1,231E-01 	-7,182E-05 	1,750E-08 	0,00 	0,00 	-12,99	19,03	15,8425 	2631,57 	-46,00 	354	240	0,000 	0,00 	0,000 	0,000 	6680
261	2,3-DIMETHYL-1-BUTENE	84,162 	115,9 	328,8 	501,0 	32,0 	343,0 	0,270 	0,221 	0,678 	293,0 	0,0 	1,6780 	1,334E-01 	-8,828E-05 	2,539E-08 	0,00 	0,00 	-13,32	18,89	15,8012 	2612,69 	-43,78 	360	235	0,000 	0,00 	0,000 	0,000 	6550
262	2,3-DIMETHYL-2-BUTENE	84,162 	198,9 	346,4 	524,0 	33,2 	351,0 	0,270 	0,239 	0,708 	293,0 	0,0 	0,5480 	1,153E-01 	-5,252E-05 	7,265E-09 	0,00 	0,00 	-14,15	18,13	16,0043 	2798,63 	-47,71 	375	250	0,000 	0,00 	0,000 	0,000 	7083
263	3,3-DIMETHYL-1-BUTENE	84,162 	158,0 	314,4 	490,0 	32,1 	340,0 	0,270 	0,121 	0,653 	293,0 	0,0 	-2,9990 	1,310E-01 	-6,963E-05 	1,244E-08 	0,00 	0,00 	-10,31	23,46	15,3755 	2326,80 	-48,24 	340	225	0,000 	0,00 	0,000 	0,000 	6130
264	CYCLOHEXANOL	100,161 	298,0 	434,3 	625,0 	37,0 	327,0 	0,240 	0,550 	0,942 	303,0 	1,7 	-13,2640 	1,723E-01 	-9,760E-05 	1,967E-08 	0,00 	0,00 	-70,4	-28,18	0,0000 	0,00 	0,00 	0	0	86,548 	-9573,09 	-9,539 	5,860 	10870
265	METHYL ISOBUTYL KETONE	100,161 	189,0 	389,6 	571,0 	32,3 	371,0 	0,260 	0,400 	0,801 	293,0 	2,8 	0,9300 	1,351E-01 	-7,925E-05 	1,966E-08 	473,65 	259,03 	-67,84	0	15,7165 	2893,66 	-70,75 	425	285	0,000 	0,00 	0,000 	0,000 	8500
266	N-BUTYL-ACETATE	116,161 	189,0 	389,6 	571,0 	32,3 	371,0 	0,260 	0,400 	0,801 	293,0 	2,8 	3,2530 	1,311E-01 	-5,442E-05 	-1,890E-10 	537,58 	272,30 	-116,26	0	16,1836 	3151,09 	-69,15 	435	295	0,000 	0,00 	0,000 	0,000 	8600
267	ISOBUTYL ACETATE	116,160 	174,3 	390,0 	561,0 	30,0 	414,0 	0,270 	0,479 	0,875 	293,0 	1,9 	1,7460 	1,371E-01 	-6,152E-05 	2,630E-09 	533,99 	270,49 	-118,34	0	16,1714 	3092,83 	-66,15 	427	289	0,000 	0,00 	0,000 	0,000 	8568
268	ETHYL BUTYRATE	116,160 	180,0 	394,0 	566,0 	31,0 	395,0 	0,260 	0,470 	0,879 	293,0 	1,8 	5,1370 	1,177E-01 	-4,629E-05 	8,500E-10 	489,95 	264,22 	0	0	15,9987 	3127,60 	-60,15 	432	288	0,000 	0,00 	0,000 	0,000 	8200
269	ETHYL ISOBUTYRATE	116,160 	185,0 	384,2 	553,0 	30,0 	410,0 	0,270 	0,427 	0,869 	293,0 	2,1 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	74,336 	-7477,19 	-8,108 	5,660 	8365
270	N-PROPYL PROPIONATE	116,161 	197,3 	395,7 	578,0 	0,0 	0,0 	0,000 	0,000 	0,881 	293,0 	1,8 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	16,8641 	3558,18 	-47,86 	420	292	0,000 	0,00 	0,000 	0,000 	8690
271	N-HEXANE	86,178 	177,8 	341,9 	507,4 	29,3 	370,0 	0,260 	0,296 	0,659 	293,0 	0,0 	-1,0540 	1,390E-01 	-7,449E-05 	1,551E-08 	362,79 	207,09 	-39,96	-0,06	15,8366 	2697,55 	-48,78 	370	245	57,279 	-5587,42 	-5,885 	4,778 	6896
272	2-METHYL PENTANE	86,178 	119,5 	333,4 	497,5 	29,7 	367,0 	0,267 	0,279 	0,653 	293,0 	0,0 	-2,5240 	1,477E-01 	-8,533E-05 	1,931E-08 	384,13 	208,27 	-41,66	-1,2	15,7476 	2614,38 	-46,58 	370	240	55,352 	-5301,22 	-5,650 	4,911 	6640
273	3-METHYL PENTANE	86,178 	155,0 	336,4 	504,4 	30,8 	367,0 	0,273 	0,275 	0,664 	293,0 	0,0 	-0,5700 	1,359E-01 	-6,854E-05 	1,202E-08 	372,11 	207,55 	-41,02	-0,51	15,7701 	2653,43 	-46,02 	365	240	54,479 	-5323,33 	-5,509 	4,579 	6710
274	2,2 DIMETHYL BUTANE	86,178 	173,3 	322,9 	488,7 	30,4 	359,0 	0,272 	0,231 	0,649 	293,0 	0,0 	-3,9730 	1,503E-01 	-8,314E-05 	1,636E-08 	438,44 	226,67 	-44,35	-2,3	15,5536 	2489,50 	-43,81 	350	230	51,470 	-4910,28 	-5,314 	4,323 	6287
275	2,3 DIMETHYL BUTANE	86,178 	144,6 	331,2 	499,9 	30,9 	358,0 	0,270 	0,247 	0,662 	293,0 	0,0 	-3,4890 	1,469E-01 	-8,063E-05 	1,629E-08 	444,19 	228,86 	-42,49	-0,98	15,6802 	2595,44 	-44,25 	354	235	51,700 	-5061,44 	-5,138 	4,472 	6520
276	1-HEXANOL	102,177 	229,2 	430,2 	610,0 	40,0 	381,0 	0,300 	0,560 	0,819 	293,0 	1,8 	1,1490 	1,407E-01 	-7,189E-05 	1,296E-08 	1179,40 	354,94 	-75,9	-32,4	18,0994 	4055,45 	-76,49 	430	308	0,000 	0,00 	0,000 	0,000 	11600
277	ETHYL BUTYL ETHER	102,177 	170,0 	365,4 	531,0 	30,0 	390,0 	0,270 	0,400 	0,749 	293,0 	1,2 	5,6430 	1,282E-01 	-6,039E-05 	9,928E-09 	443,32 	234,68 	0	0	16,0477 	2921,52 	-55,15 	400	265	0,000 	0,00 	0,000 	0,000 	7600
278	DIISOPROPYL ETHER	102,177 	187,7 	341,5 	500,0 	28,4 	386,0 	0,267 	0,340 	0,724 	293,0 	1,2 	1,7920 	1,397E-01 	-7,229E-05 	1,396E-08 	410,58 	219,67 	-76,2	-29,13	16,3417 	2895,73 	-43,15 	364	249	0,000 	0,00 	0,000 	0,000 	7010
279	DIPROPYLAMINE	101,193 	210,0 	382,4 	550,0 	31,0 	407,0 	0,280 	0,455 	0,738 	293,0 	1,0 	1,5430 	1,503E-01 	-8,098E-05 	1,689E-08 	561,11 	257,39 	0	0	16,5939 	3259,08 	-55,15 	422	302	0,000 	0,00 	0,000 	0,000 	8840
280	TRIETHYLAMINE	101,193 	158,4 	362,7 	535,0 	30,0 	390,0 	0,270 	0,329 	0,728 	293,0 	0,9 	-4,4020 	1,709E-01 	-1,049E-04 	2,609E-08 	355,52 	214,48 	-23,8	26,36	15,8853 	2882,38 	-51,15 	400	260	0,000 	0,00 	0,000 	0,000 	7500
281	PERFLUOROMETHYLCYCLOHEXANE	350,055 	0,0 	349,5 	486,8 	23,0 	0,0 	0,000 	0,482 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-692,2	0	15,7130 	2610,57 	-61,93 	385	290	51,689 	-5514,04 	-5,004 	5,470 	0
282	PERFLUORO-N-HEPTANE	388,051 	195,0 	355,7 	474,8 	16,0 	664,0 	0,273 	0,560 	1,733 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-808,9	-737,87	15,9747 	2719,68 	-64,50 	390	270	83,896 	-7348,95 	-9,644 	7,820 	0
283	BENZONITRILE	103,124 	260,0 	464,0 	699,4 	41,6 	0,0 	0,000 	0,360 	1,010 	288,0 	3,5 	-6,2210 	1,369E-01 	-1,058E-04 	3,222E-08 	0,00 	0,00 	52,3	62,35	0,0000 	0,00 	0,00 	0	0	59,774 	-7912,31 	-5,881 	6,530 	0
284	BENZALDEHYDE	106,124 	216,0 	452,0 	695,0 	46,0 	0,0 	0,000 	0,320 	1,045 	293,0 	2,8 	-2,9000 	1,185E-01 	-6,794E-05 	1,234E-08 	686,84 	314,66 	-8,79	5,35	16,3501 	3748,62 	-66,12 	460	300	0,000 	0,00 	0,000 	0,000 	10200
285	BENZOIC ACID	122,124 	395,6 	523,0 	752,0 	45,0 	341,0 	0,250 	0,620 	1,075 	403,0 	1,7 	-12,2510 	1,503E-01 	-1,012E-04 	2,537E-08 	2617,60 	407,88 	-69,36	-50,29	17,1634 	4190,70 	-125,20 	560	405	0,000 	0,00 	0,000 	0,000 	12100
286	TOLUENE	92,141 	178,0 	383,8 	591,7 	40,6 	316,0 	0,264 	0,257 	0,867 	293,0 	0,4 	-5,8170 	1,224E-01 	-6,605E-05 	1,173E-08 	467,33 	255,24 	11,95	29,16	16,0137 	3096,52 	-53,67 	410	280	56,785 	-6283,50 	-5,681 	4,840 	7930
287	METHYL PHENYL ETHER	108,140 	235,7 	426,8 	641,0 	41,2 	0,0 	0,000 	0,000 	0,996 	293,0 	1,2 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	388,84 	325,85 	0	0	16,2394 	3430,82 	-69,58 	440	370	0,000 	0,00 	0,000 	0,000 	0
288	BENZYL ALCOHOL	108,140 	257,8 	478,6 	677,0 	46,0 	334,0 	0,280 	0,710 	1,041 	298,0 	1,7 	-1,7670 	1,309E-01 	-8,019E-05 	1,856E-08 	1088,00 	367,21 	-22,47	0	17,4582 	4384,81 	-73,15 	603	385	0,000 	0,00 	0,000 	0,000 	12070
289	O-CRESOL	108,140 	304,1 	464,2 	697,6 	49,4 	282,0 	0,240 	0,443 	1,028 	313,0 	1,6 	-7,7090 	1,673E-01 	-1,415E-04 	5,073E-08 	1533,40 	365,61 	-30,74	-8,86	15,9148 	3305,37 	-108,00 	480	370	75,616 	-9341,59 	-7,959 	5,470 	10800
290	M-CRESOL	108,140 	285,4 	475,4 	705,8 	45,0 	310,0 	0,241 	0,464 	1,034 	293,0 	1,8 	-10,7500 	1,735E-01 	-1,440E-04 	4,962E-08 	1785,60 	370,75 	-31,63	-9,69	17,2878 	4274,42 	-74,09 	480	370	79,796 	-9855,80 	-8,509 	6,140 	11330
291	P-CRESOL	108,140 	307,9 	475,1 	704,6 	50,8 	0,0 	0,000 	0,515 	1,019 	313,0 	1,6 	-9,7050 	1,685E-01 	-1,375E-04 	4,699E-08 	1826,90 	372,68 	-29,97	-7,38	16,1989 	3479,39 	-111,30 	480	370	64,083 	-8825,19 	-6,316 	5,420 	11340
292	2,3-DIMETHYLPYRIDINE	107,156 	0,0 	434,0 	655,4 	0,0 	0,0 	0,000 	0,000 	0,942 	298,0 	2,2 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	16,31	0	17,1492 	4219,74 	-33,04 	440	420	0,000 	0,00 	0,000 	0,000 	0
293	2,5-DIMETHYLPYRIDINE	107,156 	0,0 	430,2 	644,2 	0,0 	0,0 	0,000 	0,000 	0,938 	273,0 	2,2 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	15,87	0	16,3046 	3545,14 	-63,59 	435	350	0,000 	0,00 	0,000 	0,000 	0
294	3,4-DIMETHYLPYRIDINE	107,156 	0,0 	452,3 	683,8 	0,0 	0,0 	0,000 	0,000 	0,954 	298,0 	1,9 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	16,73	0	16,9517 	4237,04 	-41,65 	460	400	0,000 	0,00 	0,000 	0,000 	0
295	3,5-DIMETHYLPYRIDINE	107,156 	0,0 	445,1 	667,2 	0,0 	0,0 	0,000 	0,000 	0,939 	298,0 	2,6 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	17,39	0	16,8850 	4106,95 	-44,45 	460	400	0,000 	0,00 	0,000 	0,000 	0
296	METHYLPHENYLAMINE	107,156 	216,0 	469,1 	701,0 	51,3 	0,0 	0,000 	0,000 	0,989 	293,0 	1,7 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	915,12 	332,74 	20,4	47,61	16,3066 	3756,28 	-80,71 	480	320	0,000 	0,00 	0,000 	0,000 	0
297	O-TOLUIDINE	107,156 	258,4 	473,3 	694,0 	37,0 	343,0 	0,260 	0,435 	0,998 	293,0 	1,6 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	1085,10 	356,46 	0	0	16,7834 	4072,58 	-72,15 	500	375	0,000 	0,00 	0,000 	0,000 	10835
298	M-TOLUIDINE	107,156 	242,8 	476,5 	709,0 	41,0 	343,0 	0,240 	0,406 	0,989 	293,0 	1,5 	-3,8190 	1,357E-01 	-7,244E-05 	1,109E-08 	928,12 	354,07 	0	0	16,7498 	4080,32 	-73,15 	500	355	0,000 	0,00 	0,000 	0,000 	10900
299	P-TOLUIDINE	107,156 	316,9 	473,8 	667,0 	0,0 	0,0 	0,000 	0,000 	0,964 	323,0 	1,6 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	738,90 	356,02 	0	0	16,6968 	4041,04 	-72,15 	500	350	0,000 	0,00 	0,000 	0,000 	10700
300	CYCLOHEPTANE	98,189 	265,0 	391,9 	589,0 	36,7 	390,0 	0,300 	0,336 	0,810 	293,0 	0,0 	-18,1970 	1,879E-01 	-1,004E-04 	1,806E-08 	0,00 	0,00 	-28,52	15,06	15,7818 	3066,05 	-56,80 	435	330	0,000 	0,00 	0,000 	0,000 	7900
301	1,1-DIMETHYLCYCLOPENTANE	98,189 	203,4 	361,0 	547,0 	34,0 	360,0 	0,270 	0,273 	0,759 	289,0 	0,0 	-13,8270 	1,832E-01 	-1,075E-04 	2,413E-08 	0,00 	0,00 	-33,05	9,33	15,6973 	2807,94 	-51,20 	390	260	0,000 	0,00 	0,000 	0,000 	7240
302	CIS-1,2-DIMETHYLCYCLOPENTANE	98,189 	219,3 	372,7 	564,8 	34,0 	368,0 	0,270 	0,269 	0,777 	289,0 	0,0 	-13,2900 	1,819E-01 	-1,071E-04 	2,422E-08 	0,00 	0,00 	-30,96	10,93	15,7729 	2922,30 	-52,94 	400	270	0,000 	0,00 	0,000 	0,000 	7576
303	TRANS-1,2-DIMETHYLCYCLOPENTANE	98,189 	155,6 	365,0 	553,2 	34,0 	362,0 	0,270 	0,269 	0,756 	289,0 	0,0 	-13,0220 	1,813E-01 	-1,070E-04 	2,429E-08 	0,00 	0,00 	-32,67	9,17	15,7594 	2861,53 	-51,46 	390	260	0,000 	0,00 	0,000 	0,000 	7375
304	ETHYLCYCLOPENTANE	98,189 	134,7 	376,6 	569,5 	33,5 	375,0 	0,269 	0,283 	0,771 	289,0 	0,0 	-13,2110 	1,794E-01 	-1,050E-04 	2,398E-08 	433,81 	249,72 	-30,37	10,65	15,8581 	2990,13 	-52,47 	402	270	0,000 	0,00 	0,000 	0,000 	7715
305	METHYLCYCLOHEXANE	98,189 	146,6 	374,1 	572,1 	34,3 	368,0 	0,269 	0,233 	0,774 	289,0 	0,0 	-14,7890 	1,873E-01 	-1,060E-04 	2,237E-08 	528,41 	271,58 	-36,99	6,52	15,7105 	2926,04 	-51,75 	400	270	52,902 	-5797,19 	-5,199 	5,230 	7440
306	1-HEPTENE	98,189 	154,3 	366,8 	537,2 	28,0 	440,0 	0,280 	0,358 	0,697 	293,0 	0,3 	-0,7890 	1,504E-01 	-8,388E-05 	1,817E-08 	368,69 	214,32 	-14,89	22,9	15,8894 	2895,51 	-53,97 	400	265	60,035 	-6147,41 	-6,211 	5,700 	7430
307	2,3,3-TRIMETHYL-1-BUTENE	98,189 	163,3 	351,0 	533,0 	28,6 	400,0 	0,260 	0,192 	0,705 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-20,67	0	15,6536 	2719,47 	-49,56 	375	253	0,000 	0,00 	0,000 	0,000 	6900
308	N-HEPTANE	100,205 	182,6 	371,6 	540,2 	27,0 	432,0 	0,263 	0,351 	0,684 	293,0 	0,0 	-1,2290 	1,615E-01 	-8,720E-05 	1,829E-08 	436,73 	232,53 	-44,88	1,91	15,8737 	2911,32 	-56,51 	400	270	61,276 	-6303,87 	-6,373 	6,000 	7576
309	2-METHYLHEXANE	100,205 	154,9 	363,2 	530,3 	27,0 	421,0 	0,261 	0,330 	0,679 	293,0 	0,0 	-9,4080 	2,064E-01 	-1,502E-04 	4,386E-08 	417,46 	225,13 	-46,59	0,77	15,8261 	2845,06 	-53,60 	390	264	60,131 	-6074,01 	-6,244 	5,790 	7330
310	3-METHYLHEXANE	100,205 	100,0 	365,0 	535,2 	27,8 	404,0 	0,256 	0,324 	0,687 	293,0 	0,0 	-1,6830 	1,633E-01 	-8,919E-05 	1,871E-08 	0,00 	0,00 	-45,96	1,1	15,8133 	2855,66 	-53,93 	390	265	59,325 	-6059,25 	-6,123 	5,720 	7360
311	2,2-DIMETHYLPENTANE	100,205 	149,4 	352,4 	520,4 	27,4 	416,0 	0,267 	0,289 	0,674 	293,0 	0,0 	-11,9660 	2,139E-01 	-1,519E-04 	4,146E-08 	417,37 	226,19 	-49,27	0,02	15,6917 	2740,15 	-49,85 	378	254	55,514 	-5590,61 	-5,636 	5,490 	6970
312	2,3-DIMETHYLPENTANE	100,205 	0,0 	362,9 	537,3 	28,7 	393,0 	0,256 	0,299 	0,695 	293,0 	0,0 	-1,6830 	1,633E-01 	-8,919E-05 	1,871E-08 	0,00 	0,00 	-47,62	0,16	15,7815 	2850,64 	-51,33 	388	262	57,249 	-5882,73 	-5,843 	5,580 	7263
313	2,4-DIMETHYLPENTANE	100,205 	154,0 	353,7 	519,7 	27,0 	418,0 	0,265 	0,306 	0,673 	293,0 	0,0 	-1,6830 	1,633E-01 	-8,919E-05 	1,871E-08 	0,00 	0,00 	-48,28	0,74	15,7179 	2744,78 	-51,52 	378	256	0,000 	0,00 	0,000 	0,000 	7050
314	3,3-DIMETHYLPENTANE	100,205 	138,7 	359,2 	536,3 	29,1 	414,0 	0,274 	0,270 	0,693 	293,0 	0,0 	-1,6830 	1,633E-01 	-8,919E-05 	1,871E-08 	0,00 	0,00 	-48,17	0,63	15,7190 	2829,10 	-47,83 	385	260	54,572 	-5634,72 	-5,487 	5,490 	7086
315	3-ETHYLPENTANE	100,205 	154,6 	366,6 	540,6 	28,5 	416,0 	0,267 	0,310 	0,698 	0,3 	0,0 	-1,6830 	1,633E-01 	-8,919E-05 	1,871E-08 	0,00 	0,00 	-45,33	2,63	15,8317 	2882,44 	-53,26 	392	266	0,000 	0,00 	0,000 	0,000 	7399
316	2,2,3-TRIMETHYLBUTANE	100,205 	248,3 	354,0 	531,1 	29,2 	398,0 	0,267 	0,251 	0,690 	293,0 	0,0 	-5,4800 	1,796E-01 	-1,056E-04 	2,400E-08 	0,00 	0,00 	-48,95	1,02	15,6398 	2764,40 	-47,10 	379	254	52,761 	-5431,67 	-5,251 	5,370 	6919
317	1-HEPTANOL	116,204 	239,2 	449,5 	633,0 	30,0 	435,0 	0,250 	0,560 	0,822 	293,0 	1,7 	1,1720 	1,619E-01 	-8,232E-05 	1,444E-08 	1287,00 	361,83 	-79,3	-28,9	15,3068 	2626,42 	-146,60 	449	333	0,000 	0,00 	0,000 	0,000 	11500
318	PHTHALIC ANHYDRIDE	148,118 	404,0 	560,0 	810,0 	47,0 	368,0 	0,260 	0,000 	0,000 	0,0 	5,3 	-1,0640 	1,562E-01 	-1,023E-04 	2,411E-08 	0,00 	0,00 	-88,8	0	15,9984 	4467,01 	-83,15 	615	409	0,000 	0,00 	0,000 	0,000 	11850
319	STYRENE	104,152 	242,5 	418,3 	647,0 	39,4 	0,0 	0,000 	0,257 	0,906 	293,0 	0,1 	-6,7470 	1,471E-01 	-9,609E-05 	2,373E-08 	528,64 	276,71 	35,22	51,1	16,0193 	3328,57 	-63,72 	460	305	0,000 	0,00 	0,000 	0,000 	8800
320	METHYL PHENYL KETONE	120,151 	292,8 	474,9 	701,0 	38,0 	376,0 	0,250 	0,420 	1,032 	288,0 	3,0 	-7,0650 	1,531E-01 	-9,724E-05 	2,322E-08 	1316,40 	310,82 	-20,76	0,44	16,2384 	3781,07 	-81,15 	520	350	0,000 	0,00 	0,000 	0,000 	0
321	METHYL BENZOATE	136,151 	260,8 	472,2 	692,0 	36,0 	396,0 	0,250 	0,430 	1,086 	293,0 	1,9 	-5,0660 	1,314E-01 	-4,298E-05 	1,057E-08 	768,94 	332,33 	-60,68	0	16,2272 	3751,83 	-81,51 	516	350	0,000 	0,00 	0,000 	0,000 	10300
322	O-XYLENE	106,168 	248,0 	417,6 	630,2 	36,8 	369,0 	0,263 	0,314 	0,880 	293,0 	0,5 	-3,7860 	1,424E-01 	-8,224E-05 	1,798E-08 	513,54 	277,98 	4,54	29,18	16,1156 	3395,57 	-59,46 	445	305	61,763 	-7149,21 	-6,302 	6,110 	8800
323	M-XYLENE	106,168 	225,3 	412,3 	617,0 	35,0 	376,0 	0,260 	0,331 	0,864 	293,0 	0,3 	-6,9660 	1,504E-01 	-8,950E-05 	2,025E-08 	453,42 	257,18 	4,12	28,41	16,1390 	3366,99 	-58,04 	440	300	55,493 	-6666,23 	-5,436 	6,080 	8690
324	P-XYLENE	106,168 	286,4 	411,5 	616,2 	34,7 	379,0 	0,260 	0,324 	0,861 	293,0 	0,1 	-5,9930 	1,443E-01 	-8,058E-05 	1,629E-08 	475,16 	261,40 	4,29	28,95	16,0963 	3346,65 	-57,84 	440	300	56,175 	-6673,70 	-5,543 	6,190 	8600
325	ETHYLBENZENE	106,168 	178,2 	409,3 	617,1 	35,6 	374,0 	0,263 	0,301 	0,867 	293,0 	0,4 	-10,2940 	1,689E-01 	-1,149E-04 	3,107E-08 	472,82 	264,22 	7,12	31,21	16,0195 	3279,47 	-59,95 	450	300	58,100 	-6792,54 	-5,802 	5,750 	8500
326	O-ETHYLPHENOL	122,167 	269,8 	477,7 	703,0 	0,0 	0,0 	0,000 	0,000 	1,037 	273,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-34,82	0	17,9610 	4928,36 	-45,75 	500	350	0,000 	0,00 	0,000 	0,000 	11490
327	M-ETHYLPHENOL	122,167 	269,0 	491,6 	716,4 	0,0 	0,0 	0,000 	0,000 	1,025 	273,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-35,01	0	17,1955 	4272,77 	-86,08 	500	370	0,000 	0,00 	0,000 	0,000 	12140
328	P-ETHYLPHENOL	122,167 	318,0 	491,0 	716,4 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-34,55	0	19,0905 	5579,62 	-44,15 	500	370	0,000 	0,00 	0,000 	0,000 	12100
